agent_count,stage,median_latency_s,p95_latency_s,p99_latency_s
25,policy_inference,0.0249,0.0272,0.0274
25,coalition_value,0.1339,0.1485,0.1493
25,heuristic_stability_verification,0.1175,0.1464,0.1486
25,dc_screening,0.025,0.0273,0.0273
25,socp_verification,0.0488,0.0553,0.0567
25,ac_verification,0.0487,0.0567,0.0567
25,corrective_projection,0.0468,0.0559,0.0566
25,end_to_end_settlement,0.0249,0.0271,0.0274
50,policy_inference,0.0513,0.0548,0.0549
50,coalition_value,0.3471,0.41,0.4145
50,heuristic_stability_verification,0.359,0.4042,0.4149
50,dc_screening,0.05,0.0547,0.0549
50,socp_verification,0.1112,0.1287,0.1297
50,ac_verification,0.1062,0.1292,0.1295
50,corrective_projection,0.1141,0.1302,0.1309
50,end_to_end_settlement,0.0497,0.0548,0.0549
100,policy_inference,0.098,0.1076,0.1096
100,coalition_value,0.9813,1.1669,1.1813
100,heuristic_stability_verification,0.9642,1.1647,1.1716
100,dc_screening,0.1002,0.1093,0.1099
100,socp_verification,0.2592,0.294,0.2989
100,ac_verification,0.2561,0.2926,0.3009
100,corrective_projection,0.249,0.2944,0.298
100,end_to_end_settlement,0.0987,0.1092,0.1098
250,policy_inference,0.2575,0.2739,0.2745
250,coalition_value,4.0619,4.7021,4.7236
250,heuristic_stability_verification,4.0481,4.7014,4.7183
250,dc_screening,0.2547,0.2727,0.2748
250,socp_verification,0.7713,0.8902,0.9038
250,ac_verification,0.7153,0.8794,0.8925
250,corrective_projection,0.7173,0.8976,0.9025
250,end_to_end_settlement,0.2511,0.272,0.2742
500,policy_inference,0.509,0.5435,0.5466
500,coalition_value,11.4686,13.2421,13.3571
500,heuristic_stability_verification,12.043,13.0732,13.2743
500,dc_screening,0.5047,0.5411,0.5462
500,socp_verification,1.7375,2.0008,2.0299
500,ac_verification,1.6791,2.0399,2.0606
500,corrective_projection,1.7289,2.0651,2.0744
500,end_to_end_settlement,0.5032,0.5482,0.5498
1000,policy_inference,0.9994,1.0981,1.0987
1000,coalition_value,32.1505,37.4624,37.6612
1000,heuristic_stability_verification,32.1068,37.2524,37.5724
1000,dc_screening,0.99,1.0812,1.0933
1000,socp_verification,3.806,4.5264,4.7024
1000,ac_verification,3.8698,4.6446,4.7486
1000,corrective_projection,4.0906,4.7246,4.756
1000,end_to_end_settlement,0.9851,1.08,1.0903
